Name,Industry,Address,Rating,BBB_rating,Business_phone,Website
"DB Klain Construction, LLC",General contractor,12839 Broad St UNIT 200,5.0,,+1 317-846-9992,http://www.dbklain.com/
Trim It Up LLC,General contractor,131 N Rangeline Rd,4.5,,+1 317-403-7543,http://www.trimitupllc.com/
Indy Home Experts,General contractor,13672 Stone Dr,4.4,,+1 317-289-7560,https://www.homeexpertsindy.com/
Everything Home,Remodeler,200 S Rangeline Rd Unit 107,4.9,,+1 317-660-1077,https://www.everythinghomedesigns.com/offerings?utm_source=google&utm_medium=organic&utm_campaign=gmb
HomeWorx Indy,General contractor,,5.0,,+1 317-733-7390,https://homeworxindy.com/
Custom Home Medic LLC,Kitchen remodeler,1093 3rd Ave SW,4.6,,+1 317-983-4963,http://customhomemedic.com/
Chateau Kitchens & Home Remodeling,Kitchen remodeler,301 E Carmel Dr,4.9,,+1 317-818-0497,http://chateaukitchens.com/
Becley Building Group,General contractor,4660 Lisborn Dr,5.0,,+1 317-514-6130,http://www.becleybg.com/
"Modern Touch Contracting, LLC",Real Estate Builders & Construction Company,22 E Washington St Suite 640 C,4.7,,+1 317-855-9930,https://mtcindyllc.com/
Craftsman Exterior Remodeling,Siding contractor,38 W Main St,4.9,,+1 317-919-2889,https://craftsmanexterior.com/?utm_source=GMBlisting&utm_medium=organic
Indiana Residential,General contractor,1131 Shelby St,4.4,,+1 800-601-4050,http://www.indianaresidential.com/
The Painting Edge,Painter,510 N Rangeline Rd,5.0,,+1 317-846-1107,https://thepaintingedge.com/
BuildSmart Construction,Real Estate Builders & Construction Company,230 N Rangeline Rd,5.0,,+1 317-296-8090,http://indybuildsmart.com/
Christopher Scott Homes,General contractor,880 Monon Grn Blvd Ste 47,4.9,,+1 317-590-7961,http://www.cshomes.com/
Ridgeline General Contractors,General contractor,627 Sheridan Rd,4.6,,+1 317-967-3539,https://www.ridgelinegc.net/
"Innovative Maintenance Solutions, Inc",General contractor,1010 3rd Ave SW Suite #114,5.0,,+1 317-975-0275,http://indyims.com/
"Centennial Construction & Remodeling Services, Inc.",General contractor,17265 Harger Ct #113,4.3,,+1 317-848-7634,https://www.centennialconstructionremodeling.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb
"Hoosier Remodelers, LLC",Contractor,,5.0,,+1 317-601-9726,
"Equity Remodel Co, LLC",Contractor,260 Gradle Dr,5.0,,+1 317-316-7042,
Wedgewood Building Company,Custom home builder,32 1st St NE,4.0,,+1 317-669-6300,http://www.wedgewoodbc.com/
"Kort Builders, Inc.",General contractor,8709 Castle Park Dr,4.9,,+1 317-872-4181,https://kortbuilders.com/
Shamrock Builders,Real Estate Builders & Construction Company,9800 Westpoint Dr Ste 200,4.6,,+1 317-558-8750,https://shamrockbuilders.com/?utm_source=NEXT&utm_medium=google_website
GEMCO,Mechanical contractor,475 Gradle Dr,4.5,,+1 317-846-9299,http://www.wearegemco.com/
"CRG Residential, LLC",Real Estate Builders & Construction Company,805 City Center Dr #160,2.9,,+1 317-575-9400,http://crgresidential.com/
Surroundings by Natureworks+,Remodeler,200 S Rangeline Rd #129,4.9,,+1 317-575-0482,https://choosesurroundings.com/
Chapman Custom Baths,Bathroom remodeler,600 E Carmel Dr SUITE 153,5.0,,+1 317-406-5655,https://www.chapmancustombaths.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-carmel
Lansing Building Products,Window installation service,9801 Mayflower Park Dr SUITE 100,4.8,,+1 317-241-4327,https://www.lansingnow.com/
Gonzalez Home Improvement - Mauricio Gonzalez & Cecilia Gonzalez,General contractor,133 W 161st St,5.0,,+1 317-313-0659,http://gonzalez-construction.com/
Construction Services of Indpls,General contractor,6333 Allisonville Rd,4.4,,+1 317-590-8620,http://www.constructionservicesofindpls.com/construction-contact-us
Armor Contracting LLC,Roofing contractor,,5.0,,+1 317-379-2825,https://www.armorcontracting.com/
"Big Dog Contracting, LLC",General contractor,,3.7,,+1 317-557-3808,
"CTI Construction, LLC",General contractor,1016 3rd Ave SW Ste 200,,,+1 317-573-6281,http://cticonstructionllc.com/
The Trim Wright,General contractor,4206 W 146th St,5.0,,+1 463-223-5324,http://www.thetrimwright.com/
Alt Construction LLC,Real Estate Builders & Construction Company,10650 N Bennett Pkwy Ext Suite: 200,5.0,,+1 317-253-1251,http://www.altconstruction.com/
RH Contracting,General contractor,3815 River Crossing Pkwy #100,5.0,,+1 317-520-3233,http://www.yourindycontractor.com/
Arrow Construction,Roofing contractor,150 W Hawthorne St,5.0,,+1 317-331-8762,http://www.arrowbuilds.com/
Kellers Roofing & Restoration LLC,General contractor,597 Industrial Dr Suite 311,4.7,,+1 317-765-0185,https://kellersroofing.com/
DGC Contracting LLC,General contractor,,5.0,,+1 317-363-4033,https://dgccontractingllc.com/
Rodriguez Flooring Indiana LLC,Custom home builder,133 Pine View Dr,5.0,,+1 317-629-7608,
Preferred Home Improvements,Painter,531 2nd Ave NE,4.9,,+1 317-764-4220,https://www.preferredhomeimprovementsco.com/
Benjamin Design Build,General contractor,17520 Dartown Rd #638,5.0,,+1 260-449-5590,https://www.benjamindesignbuild.com/
All Seasons Roofing & Restoration,Roofing contractor,,4.8,,+1 317-437-1944,https://goroofrepair.com/
Sho-Pro of Indiana & Bath Planet of Indianapolis,Bathroom remodeler,12262 Hancock St,4.5,,+1 317-676-1811,http://www.sho-proinc.com/
"Green Trade Contracting, Inc.",General contractor,,5.0,,+1 317-413-6600,https://greentradecontracting.com/
Myers Roofing & Exteriors,Roofing contractor,13295 Illinois St Suite 315,5.0,,+1 317-942-0883,https://www.myersexteriors.com/
GRAND Contracting,General contractor,802 E 86th St,5.0,,+1 317-552-2300,https://www.grandcontracting.net/
Meyer Najem Construction,Real Estate Builders & Construction Company,11787 Lantern Rd UNIT 100,4.7,,+1 317-577-0007,http://www.meyer-najem.com/
Sigma Builders,Custom home builder,4630 Lisborn Dr,4.4,,+1 317-203-3070,http://www.sigmabuildersllc.com/
The Guy Corporation,Custom home builder,150 Vista Pkwy,4.9,,+1 317-272-2236,https://guycohomes.com/
Indy Roof & Restoration,Roofing Service,5240 Elmwood Avenue,4.9,,(317) 659-8361,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjY85LdnNqMAxUwWkgAHSSmFTcYABAIGgJjZQ&co=1&ase=2&gclid=EAIaIQobChMI2POS3ZzajAMVMFpIAB0kphU3EBAYASAAEgJNpfD_BwE&sig=AOD64_3v85QExw0AMTouf8kiZtnrz_MJlQ&adurl&q&ctype=99&nis=6
Diyanni Homes,Custom home builder,14028 Grannan Lane,,,(317) 344-0344,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjY85LdnNqMAxUwWkgAHSSmFTcYABAAGgJjZQ&co=1&ase=2&gclid=EAIaIQobChMI2POS3ZzajAMVMFpIAB0kphU3EBAYAiAAEgJH__D_BwE&sig=AOD64_0kGNrnh-H5rAlGfrb_p1JC8FkorA&adurl&q&ctype=99&nis=6
Panthers Construction,Real Estate Builders & Construction Company,,5.0,,+1 317-453-9202,http://panthers-construction.com/
Homestead Construction and Remodeling,Bathroom remodeler,8505 Zionsville Rd Ste B,5.0,,+1 317-281-4363,https://homesteadconstructionin.com/
Wallace Construction Group LLC,General contractor,11650 Olio Rd suite 1000-205,4.4,,+1 317-747-7063,http://www.wallaceconstructiongroup.com/
Renovation Sells North Indianapolis,General contractor,,,,+1 463-283-5858,https://renovationsells.com/location/north-indianapolis/
"Performance Services, Inc.",Real Estate Builders & Construction Company,4670 Haven Point Blvd,5.0,,+1 317-713-1750,https://www.performanceservices.com/indiana/
Aventus Builders,Real Estate Builders & Construction Company,8459 Castlewood Dr STE D,4.7,,+1 317-373-2980,https://www.aventusg.com/
"William Gordon Group, Inc.",Kitchen remodeler,811 W Main St #200,5.0,,+1 317-361-3191,https://www.williamgordongroup.com/
Proliance General Contractors & Roofing Indianapolis,Roofing contractor,9465 Counselors Row Suite 2,3.9,,+1 800-613-4373,https://www.proliancegc.com/roofing-indianapolis/
"Myers Construction Management, Inc.",General contractor,13518 Myrtle Ln,5.0,,+1 317-773-3590,http://www.myerscm.com/
Thomas Jefferson Roofing,General contractor,1010 3rd Ave SW # 209,4.5,,+1 317-846-3598,https://www.thomasjeffersonroofing.com/
"Maynor Construction, LLC",Real Estate Builders & Construction Company,6326 Rucker Rd # B,4.1,,+1 317-220-7738,http://www.maynorconstruction.com/
Old Town Companies,Real estate developer,525 N End Dr Suite 100,5.0,,+1 317-660-4442,https://www.oldtowncompanies.com/
F.C.C. Development Corp,General contractor,13590B N Meridian St #100,,,+1 317-846-5800,https://fccdevelopment.com/
Nicholas Design Build,Remodeler,12502 Promise Creek Ln #434,4.9,,+1 317-779-3929,https://www.nicholasdesignbuild.com/
MBA Construction,Real Estate Builders & Construction Company,11585 N Pennsylvania St,1.0,,+1 317-536-0700,https://www.mba.construction/
Basic Construction,General contractor,2201 E 46th St #147,4.7,,+1 317-505-1030,https://basic-construction.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb
